epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.23113,0.96129,3.4344,1.00127,0.00333,1,0.67937,0.5026,0.62171,3.02948,0.82136,0.00012,0.00012,0.00012
2,8.16893,0.90399,2.48449,0.95522,0.00333,1,0.9495,0.68508,0.82266,2.84517,0.84688,0.00025532,0.00025532,0.00025532
3,11.0515,0.89159,1.62336,0.976,0.00333,1,0.8446,0.69334,0.65563,2.92282,0.84153,0.0003856,0.0003856,0.0003856
4,14.1649,0.84078,1.35249,0.96141,0.00333,1,0.77421,0.6089,0.69831,2.97352,0.84548,0.00051084,0.00051084,0.00051084
5,16.9933,0.74946,1.26147,0.94815,0.00322,0.96667,0.51106,0.35832,0.77375,3.40333,0.95742,0.00063104,0.00063104,0.00063104
6,19.9418,0.83094,1.34797,0.97078,0.00322,0.96667,0.53021,0.4369,0.74739,3.17937,0.91698,0.0007462,0.0007462,0.0007462
7,22.7885,0.76074,1.2399,0.95291,1,0.50418,0.745,0.64956,0.73495,2.93566,0.86897,0.00085632,0.00085632,0.00085632
8,25.6397,0.77688,1.23014,0.95895,1,0.45605,0.77168,0.65709,0.8023,2.79471,0.89376,0.0009614,0.0009614,0.0009614
9,28.4919,0.76049,1.17934,0.92792,1,0.48697,0.79521,0.65104,0.78557,2.70138,0.89959,0.00106144,0.00106144,0.00106144
10,31.3563,0.77567,1.12501,0.95261,1,0.62623,0.79288,0.65055,0.82125,2.43484,0.92675,0.00115644,0.00115644,0.00115644
11,34.1305,0.76721,1.20602,0.93833,1,0.74312,0.89,0.73284,0.80346,2.16657,0.92343,0.0012464,0.0012464,0.0012464
12,37.1028,0.71486,1.05197,0.947,0.9314,0.9053,0.96645,0.80106,0.74366,1.71486,0.93594,0.00133132,0.00133132,0.00133132
13,40.3666,0.80787,1.1289,0.96774,1,0.86272,0.98739,0.81392,0.75201,1.87384,0.9307,0.0014112,0.0014112,0.0014112
14,43.136,0.74638,1.07784,0.97628,1,0.99898,0.995,0.82799,0.7187,1.29185,0.90607,0.00148604,0.00148604,0.00148604
15,45.9436,0.66922,0.908,0.91389,0.96733,1,0.995,0.84019,0.7074,0.88833,0.92583,0.001496,0.001496,0.001496
16,48.72,0.69573,0.96322,0.9377,0.99724,1,0.995,0.83195,0.68474,0.902,0.90421,0.00146,0.00146,0.00146
17,51.5459,0.69347,0.947,0.92916,0.99657,1,0.995,0.80752,0.69838,0.79129,0.91663,0.001424,0.001424,0.001424
18,54.2724,0.71645,0.90246,0.9375,0.99078,1,0.995,0.84127,0.68256,0.78027,0.9185,0.001388,0.001388,0.001388
19,57.1078,0.69137,0.83559,0.92838,0.98622,1,0.995,0.85533,0.67276,0.79929,0.91663,0.001352,0.001352,0.001352
20,59.9195,0.69114,0.83848,0.93077,0.99418,1,0.995,0.82632,0.70138,0.75362,0.919,0.001316,0.001316,0.001316
21,62.7458,0.67998,0.84797,0.93179,0.99555,1,0.995,0.83876,0.67766,0.70857,0.9213,0.00128,0.00128,0.00128
22,65.9467,0.66343,0.769,0.91923,0.998,1,0.995,0.83845,0.68583,0.64508,0.91594,0.001244,0.001244,0.001244
23,68.6946,0.6298,0.72379,0.89377,0.99801,1,0.995,0.82213,0.6489,0.64011,0.91672,0.001208,0.001208,0.001208
24,71.561,0.69211,0.76417,0.92576,0.9993,1,0.995,0.83899,0.66785,0.63242,0.92884,0.001172,0.001172,0.001172
25,74.3229,0.67012,0.73117,0.949,0.99981,1,0.995,0.82825,0.69176,0.60809,0.94605,0.001136,0.001136,0.001136
26,77.0333,0.69854,0.8033,0.94877,0.99873,1,0.995,0.84358,0.64244,0.57909,0.9214,0.0011,0.0011,0.0011
27,79.8382,0.66997,0.74884,0.93609,0.9973,1,0.995,0.84745,0.64347,0.56437,0.91272,0.001064,0.001064,0.001064
28,82.5977,0.70309,0.75622,0.95798,0.99823,1,0.995,0.84209,0.65311,0.56363,0.92306,0.001028,0.001028,0.001028
29,85.3075,0.63402,0.69866,0.90955,0.99845,1,0.995,0.86011,0.65401,0.55034,0.9192,0.000992,0.000992,0.000992
30,88.1192,0.63143,0.68627,0.91979,0.99824,1,0.995,0.84739,0.64755,0.52934,0.91558,0.000956,0.000956,0.000956
31,91.454,0.66292,0.66727,0.92071,0.99772,1,0.995,0.85281,0.59518,0.54285,0.89257,0.00092,0.00092,0.00092
32,94.1614,0.6292,0.66563,0.89063,0.99789,1,0.995,0.86182,0.57584,0.52023,0.87939,0.000884,0.000884,0.000884
33,96.969,0.65671,0.69342,0.93728,0.99791,1,0.995,0.86053,0.58055,0.50565,0.88739,0.000848,0.000848,0.000848
34,99.6702,0.61655,0.6443,0.92595,0.9978,1,0.995,0.84794,0.63003,0.50754,0.91848,0.000812,0.000812,0.000812
35,102.457,0.59513,0.63005,0.89945,0.99803,1,0.995,0.84309,0.59913,0.49675,0.89638,0.000776,0.000776,0.000776
36,105.216,0.64203,0.64942,0.94703,0.99799,1,0.995,0.85591,0.59842,0.52259,0.90059,0.00074,0.00074,0.00074
37,107.799,0.57687,0.59613,0.90552,0.99796,1,0.995,0.8546,0.59865,0.51468,0.90245,0.000704,0.000704,0.000704
38,110.541,0.59295,0.57612,0.9005,0.99815,1,0.995,0.85027,0.60179,0.4887,0.9054,0.000668,0.000668,0.000668
39,113.382,0.59834,0.60013,0.90944,0.99819,1,0.995,0.85642,0.62035,0.48643,0.89652,0.000632,0.000632,0.000632
40,116.552,0.58411,0.5586,0.87972,0.998,1,0.995,0.85654,0.62425,0.46901,0.89258,0.000596,0.000596,0.000596
41,119.429,0.58248,0.57209,0.88521,0.99787,1,0.995,0.85634,0.61863,0.45898,0.89051,0.00056,0.00056,0.00056
42,122.117,0.55611,0.52395,0.87738,0.99771,1,0.995,0.86998,0.58599,0.45004,0.88917,0.000524,0.000524,0.000524
43,124.803,0.55329,0.53353,0.88054,0.9977,1,0.995,0.87435,0.57571,0.45147,0.89164,0.000488,0.000488,0.000488
44,127.584,0.55511,0.51163,0.9082,0.99767,1,0.995,0.87714,0.5614,0.4374,0.89082,0.000452,0.000452,0.000452
45,130.319,0.58294,0.55839,0.8852,0.9976,1,0.995,0.88291,0.56071,0.42669,0.89188,0.000416,0.000416,0.000416
46,135.567,0.48058,0.55988,0.85807,0.99737,1,0.995,0.87171,0.56469,0.43079,0.89183,0.00038,0.00038,0.00038
47,138.134,0.52067,0.58789,0.84562,0.99759,1,0.995,0.87224,0.56149,0.45291,0.89478,0.000344,0.000344,0.000344
48,141.212,0.4982,0.59208,0.84565,0.99768,1,0.995,0.85904,0.55702,0.44579,0.89427,0.000308,0.000308,0.000308
49,143.893,0.46161,0.56334,0.8379,0.99777,1,0.995,0.87613,0.54883,0.44174,0.89285,0.000272,0.000272,0.000272
50,146.531,0.47935,0.55422,0.86351,0.99803,1,0.995,0.87202,0.55189,0.43963,0.88984,0.000236,0.000236,0.000236
51,149.096,0.46673,0.5362,0.85108,0.99814,1,0.995,0.86611,0.56846,0.42895,0.89421,0.0002,0.0002,0.0002
52,151.639,0.47237,0.52724,0.84125,0.99823,1,0.995,0.88997,0.55361,0.42561,0.88852,0.000164,0.000164,0.000164
53,154.261,0.45792,0.52211,0.84338,0.99825,1,0.995,0.88323,0.54323,0.42013,0.88785,0.000128,0.000128,0.000128
54,156.849,0.46587,0.52743,0.84626,0.99822,1,0.995,0.89044,0.53843,0.41775,0.88811,9.2e-05,9.2e-05,9.2e-05
55,159.457,0.43964,0.51707,0.82787,0.99823,1,0.995,0.88673,0.53843,0.41178,0.88934,5.6e-05,5.6e-05,5.6e-05
